LT3127
758239,1490304,1391961,2726
 ID,Sample Time,Type,Conc.,Units,Factor,A260 (10 mm),A280 (10 mm),A3rd (10 mm),A260/A280,BlankTime,Calibration Time,Note,Diagnostic Code
3,12 Feb 2019 19:28:08,dsDNA,69.2,ng/µl,50.0,1.384,0.745,0.014,1.86,12 Feb 2019 19:26:18,01 Jan 2010 00:00:00,,0x00000000,0.000421,0.000526,12.248795,4.180507,5.211864,4.957654,3.792185,5.811918,0.000450,0.000574,12.248499,3.658693,5.208490,4.620159,3.792006,5.774067,7.75,5.00,1.00
,12 Feb 2019 21:10:18,Blank,,,,,,,,,01 Jan 2010 00:00:00,,0x00000000,0.000403,0.000531,10.132749,3.609576,5.198094,5.053256,3.788377,5.807265,0.000418,0.000551,10.132843,3.592796,5.196416,5.020907,3.788347,5.777017,6.44,5.00,1.00
,12 Feb 2019 21:10:50,Confirm,,,,-0.002,-0.001,0.000,,,01 Jan 2010 00:00:00,,0x00000000,0.000407,0.000472,10.133466,3.610900,5.199333,5.055242,3.788400,5.807505,0.000432,0.000511,10.133009,3.594574,5.196375,5.021888,3.788199,5.776734,6.44,5.00,1.00
4,12 Feb 2019 21:11:44,dsDNA,139.5,ng/µl,50.0,2.789,1.467,-0.867,1.90,12 Feb 2019 21:10:18,01 Jan 2010 00:00:00,,0x00000000,0.000438,0.000512,10.133639,3.003191,5.200094,4.404961,3.788409,5.343947,0.000396,0.000580,10.133352,2.504193,5.196906,4.190935,3.788557,5.758397,6.44,5.00,1.00
,12 Feb 2019 21:13:02,Blank,,,,,,,,,01 Jan 2010 00:00:00,,0x00000000,0.000440,0.000530,10.133532,3.607574,5.197010,5.046454,3.788486,5.802521,0.000444,0.000544,10.132817,3.590112,5.194749,5.012928,3.788363,5.771247,6.44,5.00,1.00
,12 Feb 2019 21:13:23,Confirm,,,,0.000,-0.001,-0.001,,,01 Jan 2010 00:00:00,,0x00000000,0.000435,0.000524,10.133188,3.610730,5.196312,5.049967,3.788396,5.806451,0.000437,0.000505,10.132561,3.593635,5.193640,5.016845,3.788524,5.776155,6.44,5.00,1.00
5,12 Feb 2019 21:14:08,dsDNA,260.3,ng/µl,50.0,5.206,2.839,0.017,1.83,12 Feb 2019 21:13:02,01 Jan 2010 00:00:00,,0x00000000,0.000414,0.000508,10.133099,3.068925,5.198222,4.660058,3.788634,5.805416,0.000447,0.000599,10.132662,1.887890,5.195109,3.646215,3.788518,5.765220,6.44,5.00,1.00
,13 Feb 2019 17:05:07,Blank,,,,,,,,,01 Jan 2010 00:00:00,,0x00000000,0.000429,0.000539,10.112817,3.599252,5.171580,5.022502,3.782554,5.797677,0.000456,0.000754,10.112572,3.582262,5.169754,4.990482,3.782296,5.767272,6.46,5.00,1.00
,13 Feb 2019 17:05:54,Confirm,,,,0.001,0.001,-0.000,,,01 Jan 2010 00:00:00,,0x00000000,0.000403,0.000475,10.114050,3.599438,5.173621,5.023684,3.782698,5.796555,0.000449,0.000920,10.113785,3.582062,5.170498,4.989895,3.782522,5.766356,6.46,5.00,1.00
1,13 Feb 2019 17:06:38,dsDNA,0.1,ng/µl,50.0,0.002,0.002,-0.001,0.96,13 Feb 2019 17:05:07,01 Jan 2010 00:00:00,,0x00000000,0.000411,0.000508,10.114514,3.600604,5.172873,5.022799,3.782820,5.795958,0.000412,0.001010,10.114373,3.583281,5.169766,4.989072,3.782551,5.765898,6.46,5.00,1.00
2,13 Feb 2019 17:07:52,dsDNA,0.1,ng/µl,50.0,0.001,0.001,-0.000,1.07,13 Feb 2019 17:05:07,01 Jan 2010 00:00:00,,0x00000000,0.000441,0.000545,10.115072,3.602254,5.173213,5.024626,3.782723,5.797710,0.000437,0.000942,10.114836,3.584926,5.170016,4.990902,3.782606,5.767666,6.46,5.00,1.00
,13 Feb 2019 17:08:02,Blank,,,,,,,,,01 Jan 2010 00:00:00,,0x00000000,0.000425,0.000521,10.114182,3.603490,5.166069,5.016653,3.782467,5.797423,0.000453,0.000928,10.113402,3.585773,5.164736,4.984713,3.782365,5.767286,6.45,5.00,1.00
3,13 Feb 2019 17:08:50,dsDNA,-0.1,ng/µl,50.0,-0.001,-0.000,0.000,1.07,13 Feb 2019 17:08:02,01 Jan 2010 00:00:00,,0x00000000,0.000461,0.000561,10.114744,3.603461,5.170622,5.021758,3.782573,5.797269,0.000445,0.000652,10.114438,3.586167,5.167591,4.988196,3.782601,5.767136,6.45,5.00,1.00
4,13 Feb 2019 17:10:15,dsDNA,116.9,ng/µl,50.0,2.339,1.346,0.011,1.74,13 Feb 2019 17:08:02,01 Jan 2010 00:00:00,,0x00000000,0.000420,0.000517,10.114855,3.354879,5.171896,4.834294,3.782345,5.794517,0.000433,0.000738,10.114568,2.688917,5.168562,4.284599,3.782468,5.759008,6.45,5.00,1.00
5,13 Feb 2019 17:12:29,dsDNA,113.9,ng/µl,50.0,2.278,1.307,0.002,1.74,13 Feb 2019 17:08:02,01 Jan 2010 00:00:00,,0x00000000,0.000428,0.000524,10.114371,3.362033,5.171464,4.839587,3.782311,5.794429,0.000414,0.000754,10.114112,2.711942,5.167902,4.306508,3.781940,5.762659,6.45,5.00,1.00
6,13 Feb 2019 17:14:40,dsDNA,115.3,ng/µl,50.0,2.306,1.274,0.185,1.81,13 Feb 2019 17:08:02,01 Jan 2010 00:00:00,,0x00000000,0.000413,0.000521,10.113057,3.355128,5.169362,4.832029,3.781502,5.792743,0.000441,0.000863,10.112587,2.654117,5.166086,4.239913,3.781202,5.664813,6.45,5.00,1.00
7,13 Feb 2019 17:17:03,dsDNA,117.7,ng/µl,50.0,2.353,1.350,0.006,1.74,13 Feb 2019 17:08:02,01 Jan 2010 00:00:00,,0x00000000,0.000420,0.000523,10.111542,3.353464,5.166677,4.828555,3.781054,5.793401,0.000439,0.000842,10.111145,2.685358,5.163352,4.280267,3.780756,5.759933,6.45,5.00,1.00
8,13 Feb 2019 17:19:18,dsDNA,118.7,ng/µl,50.0,2.375,1.730,5.665,1.37,13 Feb 2019 17:08:02,01 Jan 2010 00:00:00,,0x00000000,0.000423,0.000692,10.110326,3.351380,5.163952,4.822229,3.780357,5.783319,0.000417,0.001303,10.109770,1.590354,5.160664,2.458443,3.779386,3.413597,6.45,5.00,1.00
9,13 Feb 2019 17:21:29,dsDNA,117.3,ng/µl,50.0,2.346,1.345,0.003,1.75,13 Feb 2019 17:08:02,01 Jan 2010 00:00:00,,0x00000000,0.000423,0.000520,10.108808,3.357785,5.161716,4.831388,3.779867,5.792809,0.000441,0.000814,10.108456,2.691272,5.158112,4.285481,3.779698,5.761038,6.45,5.00,1.00
10,13 Feb 2019 17:23:28,dsDNA,120.3,ng/µl,50.0,2.407,1.387,0.006,1.74,13 Feb 2019 17:08:02,01 Jan 2010 00:00:00,,0x00000000,0.000438,0.000518,10.107474,3.350405,5.160106,4.821593,3.779339,5.791588,0.000450,0.000821,10.106972,2.669697,5.156590,4.260540,3.779143,5.758234,6.45,5.00,1.00
11,13 Feb 2019 17:25:40,dsDNA,118.2,ng/µl,50.0,2.363,1.358,0.016,1.74,13 Feb 2019 17:08:02,01 Jan 2010 00:00:00,,0x00000000,0.000451,0.000533,10.106256,3.355364,5.158874,4.826196,3.779021,5.790836,0.000445,0.000747,10.105878,2.681914,5.155465,4.271222,3.778771,5.752136,6.45,5.00,1.00
,14 Feb 2019 18:43:19,Blank,,,,,,,,,01 Jan 2010 00:00:00,,0x00000000,0.000413,0.000532,10.095133,3.598343,5.144553,4.999292,3.776693,5.788311,0.000421,0.000748,10.095498,3.581218,5.142945,4.967638,3.776743,5.759138,6.46,5.00,1.00
,14 Feb 2019 18:43:47,Confirm,,,,-0.001,-0.000,0.001,,,01 Jan 2010 00:00:00,,0x00000000,0.000400,0.000481,10.096758,3.600217,5.145907,5.001434,3.777153,5.789195,0.000409,0.000766,10.096493,3.582862,5.143152,4.968440,3.776965,5.759338,6.46,5.00,1.00
1,14 Feb 2019 18:44:16,RNA,-0.0,ng/µl,40.0,-0.000,0.001,0.002,0.00,14 Feb 2019 18:43:19,01 Jan 2010 00:00:00,,0x00000000,0.000433,0.000543,10.097186,3.600831,5.145600,5.001154,3.777108,5.789194,0.000443,0.000833,10.096772,3.583018,5.142779,4.967276,3.776847,5.758715,6.46,5.00,1.00
